"IP","Date","Time","Accepted cookies","Device type","Browser language","Browser name","OS Name","Country","Region","RegionName","City","Zipcode","Lat","Lon"
"00.00.00.000",2023-04-26,"11:22:38 UTC","[""necessary""]","desktop","en","Chrome","Linux","India","GJ","Gujarat","Surat",395007,21.1888,72.8293
"00.00.00.000",2023-04-26,"11:57:52 UTC","[""necessary""]","desktop","en","Chrome","Linux","India","GJ","Gujarat","Surat",395007,21.1888,72.8293
"00.00.00.000",2023-04-26,"12:11:44 UTC","[""necessary""]","desktop","en","Chrome","Linux","India","GJ","Gujarat","Surat",395007,21.1888,72.8293
"00.00.00.000",2023-04-27,"12:50:29 UTC","[""necessary""]","desktop","en","Chrome","Linux","India","GJ","Gujarat","Surat",395007,21.1888,72.8293
"00.00.00.000",2023-04-28,"03:38:44 UTC","[""necessary""]","desktop","en","Chrome","Linux","India","GJ","Gujarat","Surat",395007,21.1888,72.8293
49.36.83.154,2023-06-06,05:39:37 UTC,["necessary"],desktop,en,Firefox,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-06,05:56:56 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-06,06:07:22 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-06,06:11:36 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-07,05:53:06 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-08,06:18:15 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-09,05:19:17 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-12,10:18:36 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-12,12:52:43 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-12,13:00:08 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-05-27,12:05:30 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
